SPID,date,% Paper,% Plastic
7444,2019-11-07,"0,6","0,0"
7444,2019-11-08,"0,8","0,7"
7444,2019-11-09,"0,8","0,5"
7444,2019-11-10,"0,5333333333333333","0,26666666666666666"
7444,2019-11-11,"0,8","1,1"
7444,2019-11-12,"1,0","0,0"
7444,2019-11-13,"0,5","0,6"
7444,2019-11-14,"1,0","0,0"
7444,2019-11-15,"0,3","0,5"
7444,2019-11-16,"0,7","0,4"
7444,2019-11-17,"0,9","0,3"
7444,2019-11-18,"0,3","0,2"
7444,2019-11-19,"1,0","0,0"
7444,2019-11-20,"0,8","0,8"
7444,2019-11-21,"1,0","0,0"
7444,2019-11-22,"0,5","0,7"
7444,2019-11-23,"0,9","0,4"
7444,2019-11-24,"0,5","0,5"
7444,2019-11-25,"0,9","0,5"
7444,2019-11-27,"0,5","0,4"
7444,2019-11-28,"0,8","0,0"
7444,2019-11-29,"0,15","0,45"
7444,2019-11-30,"0,4000000000000001","0,26666666666666666"
7444,2019-12-01,"0,6666666666666666","0,2333333333333333"
7444,2019-12-02,"0,5","0,3"
7444,2019-12-03,"1,0","0,0"
7444,2019-12-04,"0,4","0,5"
7444,2019-12-05,"0,8","0,0"
7444,2019-12-06,"0,2","0,2"
7444,2019-12-07,"1,0","0,3"
7444,2019-12-08,"1,0","0,4"
7444,2019-12-09,"0,25","0,3"
7444,2019-12-10,"1,1","0,0"
7444,2019-12-11,"0,5","0,2"
7444,2019-12-12,"0,9","0,0"
7444,2019-12-13,"0,4","0,5"
7444,2019-12-14,"0,5","0,13333333333333333"
7444,2019-12-15,"1,05","0,4"
7444,2019-12-16,"0,6000000000000001","0,4"
7444,2019-12-17,"0,9","0,0"
7444,2019-12-18,"0,4","0,5"
7444,2019-12-19,"0,5","0,4"
7444,2019-12-20,"0,4666666666666666","0,06666666666666667"
7444,2019-12-21,"1,1","1,0"
7444,2019-12-22,"0,6666666666666666","0,13333333333333333"
7444,2019-12-23,"0,4666666666666666","0,26666666666666666"
7444,2019-12-24,"0,75","0,4"
7444,2019-12-25,"1,0","0,7"
7444,2019-12-26,"0,9500000000000001","0,45"
7444,2019-12-27,"0,7","0,15"
7444,2019-12-28,"0,6666666666666666","0,16666666666666666"
7444,2019-12-29,"0,9500000000000001","0,9"
7444,2019-12-30,"0,825","0,6"
7444,2019-12-31,"1,05","0,4"
7444,2020-01-01,"0,6666666666666666","0,16666666666666666"
7444,2020-01-02,"0,7","0,3"
7444,2020-01-03,"0,9","0,35"
7444,2020-01-04,"0,8","0,4"
7444,2020-01-05,"1,0","0,4"
7444,2020-01-06,"0,6666666666666666","0,13333333333333333"
7444,2020-01-07,"0,65","0,3"
7444,2020-01-08,"0,5","0,1"
7444,2020-01-09,"0,8","0,5"
7444,2020-01-10,"0,8","0,25"
7444,2020-01-11,"0,75","0,4"
7444,2020-01-12,"0,9","0,4"
7444,2020-01-13,"1,0","1,0"
7444,2020-01-14,"1,0","0,0"
7444,2020-01-15,"0,5","0,6"
7444,2020-01-16,"0,6","0,0"
7444,2020-01-17,"0,8","0,6"
7444,2020-01-18,"0,9","0,4"
7444,2020-01-19,"0,9","0,4"
7444,2020-01-20,"1,1","0,8"
7444,2020-01-21,"1,0","0,0"
7444,2020-01-22,"0,9","0,6"
7444,2020-01-23,"1,0","0,0"
7444,2020-01-24,"0,2","0,25"
7444,2020-01-25,"0,4000000000000001","0,16666666666666666"
7444,2020-01-26,"0,3666666666666667","0,19999999999999998"
7444,2020-01-27,"0,1","0,15"
7444,2020-01-28,"1,0","0,0"
7444,2020-01-29,"0,2","0,2"
7444,2020-01-30,"0,8","0,0"
7444,2020-01-31,"0,3","0,15"
7444,2020-02-01,"1,0","0,4"
7444,2020-02-02,"1,0","0,4"
7444,2020-02-03,"1,0","0,7"
7444,2020-02-04,"1,0","0,0"
7444,2020-02-05,"0,5","0,5"
7444,2020-02-06,"1,0","0,0"
7444,2020-02-07,"1,0","0,6"
7444,2020-02-08,"0,8","0,3"
7444,2020-02-09,"0,9","0,4"
7444,2020-02-10,"0,7","0,6"
7444,2020-02-11,"1,0","0,0"
7444,2020-02-12,"0,6","0,5"
7444,2020-02-13,"1,0","0,0"
7444,2020-02-14,"0,6","0,5"
