SPID,hour,visit_count
16371,8,122
16371,9,33
16371,10,17
16371,11,5
16371,12,12
16371,13,8
16371,14,9
16371,15,10
16371,16,5
16371,17,5
16371,18,4
16371,19,3
16371,20,1
16462,6,19
16462,7,146
16462,8,218
16462,9,146
16462,10,66
16462,11,43
16462,12,21
16462,13,20
16462,14,26
16462,15,14
16462,16,22
16462,17,12
16462,18,4
16462,19,5
16462,20,3
16462,21,1
16473,6,5
16473,7,254
16473,8,195
16473,9,239
16473,10,158
16473,11,109
16473,12,101
16473,13,147
16473,14,220
16473,15,231
16473,16,128
16473,17,81
16473,18,29
16473,19,12
16473,20,4
16473,21,1
16731,8,4
16731,9,12
16731,10,47
16731,11,32
16731,12,36
16731,13,18
16731,14,17
16731,15,38
16731,16,23
16731,17,22
16731,18,13
16731,19,4
16731,20,3
16731,21,1
16902,7,6
16902,8,19
16902,9,37
16902,10,98
16902,11,109
16902,12,83
16902,13,65
16902,14,86
16902,15,60
16902,16,55
16902,17,58
16902,18,28
16902,19,13
16902,20,11
16902,21,4
16902,22,2
16903,7,15
16903,8,25
16903,9,50
16903,10,116
16903,11,168
16903,12,99
16903,13,88
16903,14,108
16903,15,122
16903,16,154
16903,17,115
16903,18,86
16903,19,48
16903,20,22
16903,21,5
16903,22,1
16905,6,5
16905,7,66
16905,8,96
16905,9,94
16905,10,80
16905,11,58
16905,12,38
16905,13,52
16905,14,36
16905,15,32
16905,16,21
16905,17,16
16905,18,8
16905,19,11
16905,20,2
16905,21,5
16906,7,2
16906,8,28
16906,9,61
16906,10,47
16906,11,32
16906,12,26
16906,13,28
16906,14,24
16906,15,21
16906,16,11
16906,17,2
16906,18,7
16906,19,2
16906,20,2
16906,21,1
16980,6,194
16980,7,406
16980,8,126
16980,9,59
16980,10,28
16980,11,23
16980,12,34
16980,13,47
16980,14,46
16980,15,35
16980,16,29
16980,17,23
16980,18,20
16980,19,12
16980,20,5
16980,21,2
17132,7,9
17132,8,19
17132,9,39
17132,10,91
17132,11,103
17132,12,95
17132,13,57
17132,14,62
17132,15,62
17132,16,62
17132,17,52
17132,18,23
17132,19,24
17132,20,5
17132,21,1
17132,23,1
17182,6,22
17182,7,50
17182,8,105
17182,9,105
17182,10,97
17182,11,56
17182,12,65
17182,13,55
17182,14,47
17182,15,32
17182,16,36
17182,17,35
17182,18,25
17182,19,9
17182,20,5
17182,21,4
17228,7,25
17228,8,17
17228,9,14
17228,10,23
17228,11,19
17228,12,30
17228,13,34
17228,14,34
17228,15,32
17228,16,23
17228,17,11
17228,18,1
17228,19,4
17228,20,2
17228,21,1
17304,7,2
17304,8,6
17304,9,38
17304,10,47
17304,11,44
17304,12,36
17304,13,20
17304,14,18
17304,15,19
17304,16,22
17304,17,19
17304,18,8
17304,19,6
17304,20,3
